verbes.csv

Deutsch;Infinitiv;Conditionnel;Imparfait;Passé Composé;Kategorie
essen;manger;mangerais;mangeais;ai mangé;VERBES -ER
beginnen;commencer;commencerais;commençais;ai commencé;VERBES -ER
putzen;nettoyer;nettoierais;nettoyais;ai nettoyé;VERBES -ER
aufstehen;se lever;me lèverais;me levais;me suis levé;VERBES -ER
wiederholen;répéter;répéterais;répétais;ai répété;VERBES -ER
werfen;jeter;jetterais;jetais;ai jeté;VERBES -ER
rufen;appeler;appellerais;appelais;ai appelé;VERBES -ER
heißen;s'appeler;m'appellerais;m'appelais;me suis appelé;VERBES -ER
bedecken;couvrir;couvrirais;couvrais;ai couvert;VERBES COCOS
öffnen;ouvrir;ouvrirais;ouvrais;ai ouvert;VERBES COCOS
pflücken;cueillir;cueillerais;cueillais;ai cueilli;VERBES COCOS
anbieten;offrir;offrirais;offrais;ai offert;VERBES COCOS
leiden;souffrir;souffrirais;souffrais;ai souffert;VERBES COCOS
sterben;mourir;mourrais;mourais;suis mort;VERBES -IR
laufen;courir;courrais;courais;ai couru;VERBES -IR
kommen;venir;viendrais;venais;suis venu;VERBES -IR
werden;devenir;deviendrais;devenais;suis devenu;VERBES -IR
halten;tenir;tiendrais;tenais;ai tenu;VERBES -IR
beenden;finir;finirais;finissais;ai fini;VERBES -IR
wählen;choisir;choisirais;choisissais;ai choisi;VERBES -IR
gehorchen;obéir;obéirais;obéissais;ai obéi;VERBES -IR
abnehmen;maigrir;maigrirais;maigrissais;ai maigri;VERBES -IR
strafen;punir;punirais;punissais;ai puni;VERBES -IR
füllen;remplir;remplirais;remplissais;ai rempli;VERBES -IR
zunehmen;grossir;grossirais;grossissais;ai großi;VERBES -IR
nachdenken;réfléchir;réfléchirais;réfléchissais;ai réfléchi;VERBES -IR
erröten;rougir;rougirais;rougissais;ai rougi;VERBES -IR
altern;vieillir;vieillirais;vieillissais;ai vieilli;VERBES -IR
schlafen;dormir;dormirais;dormais;ai dormi;VERBES -IR
weggehen;partir;partirais;partais;suis parti;VERBES -IR
hinausgehen;sortir;sortirais;sortais;suis sorti;VERBES -IR
lügen;mentir;mentirais;mentais;ai menti;VERBES -IR
fühlen;sentir;sentirais;sentais;ai senti;VERBES -IR
servieren;servir;servirais;servais;ai servi;VERBES -IR
warten;attendre;attendrais;attendais;ai attendu;VERBES -RE
hinuntergehen;descendre;descendrais;descendais;suis descendu;VERBES -RE
hören;entendre;entendrais;entendais;ai entendu;VERBES -RE
nehmen;prendre;prendrais;prenais;ai pris;VERBES -RE
antworten;répondre;répondrais;répondais;ai répondu;VERBES -RE
verkaufen;vendre;vendrais;vendais;ai vendu;VERBES -RE
machen;faire;ferais;faisais;ai fait;VERBES -RE
sagen;dire;dirais;disais;ai dit;VERBES -RE
schreiben;écrire;écrirais;écrivais;ai écrit;VERBES -RE
fahren;conduire;conduirais;conduisais;ai conduit;VERBES -RE
bauen;construire;construirais;construisais;ai construit;VERBES -RE
übersetzen;traduire;traduirais;traduisais;ai traduit;VERBES -RE
produzieren;produire;produirais;produisais;ai produit;VERBES -RE
lernen;apprendre;apprendrais;apprenais;ai appris;VERBES -RE
verstehen;comprendre;comprendrais;comprenais;ai compris;VERBES -RE
überraschen;surprendre;surprendrais;surprenais;ai surpris;VERBES -RE
setzen;mettre;mettrais;mettais;ai mis;VERBES -RE
versprechen;promettre;promettrais;promettais;ai promis;VERBES -RE
erlauben;permettre;permettrais;permettais;ai permis;VERBES -RE
schlagen;battre;battrais;battais;ai battu;VERBES -RE
kennen;connaître;connaîtrais;connaissais;ai connu;VERBES -RE
geboren werden;naître;naîtrais;naissais;suis né;VERBES -RE
lesen;lire;lirais;lisais;ai lu;VERBES -RE
trinken;boire;boirais;buvais;ai bu;VERBES -RE
leben;vivre;vivrais;vivais;ai vécu;VERBES -RE
gefallen;plaire;plairais;plaisais;ai plu;VERBES -RE
glauben;croire;croirais;croyais;ai cru;VERBES -RE
lachen;rire;rirais;riais;ai ri;VERBES -RE
lächeln;sourire;sourirais;souriais;ai souri;VERBES -RE
folgen;suivre;suivrais;suivais;ai suivi;VERBES -RE
regnen;pleuvoir;pleuvrait;pleuvait;a plu;VERBES -OIR
sehen;voir;verrais;voyais;ai vu;VERBES -OIR
wissen;savoir;saurais;savais;ai su;VERBES -OIR
müssen;devoir;devrais;devais;ai dû;VERBES -OIR
können;pouvoir;pourrais;pouvais;ai pu;VERBES -OIR
wollen;vouloir;voudrais;voulais;ai voulu;VERBES -OIR
müssen (unpersönlich);falloir;faudrait;fallait;a fallu;VERBES -OIR
wert sein;valoir;vaudrais;valais;ai valu;VERBES -OIR
sich setzen;s'asseoir;m'assiérais;m'asseyais;me suis assis;VERBES -OIR
erhalten;recevoir;recevrais;recevais;ai reçu;VERBES -OIR
haben;avoir;aurais;avais;ai eu;VERBES PARTICULIERS
sein;être;serais;étais;ai été;VERBES PARTICULIERS
gehen;aller;irais;allais;suis allé;VERBES PARTICULIERS
